:START_ID,id,:END_ID,:TYPE
110g,132,47v,0.38
47v,133,134e,0.12
134e,133,47v,0.12
50y,134,93p,0.67
93p,134,50y,0.67
51z,135,94q,0.11
94q,135,51z,0.11
51z,136,111h,0.17
111h,136,51z,0.17
51z,137,112i,0.25
112i,137,51z,0.25
52a,138,95r,0.11
95r,138,52a,0.11
52a,139,113j,0.12
113j,139,52a,0.12
53b,140,72u,0.6
72u,140,53b,0.6
53b,141,96s,0.14
96s,141,53b,0.14
53b,142,97t,0.4
97t,142,53b,0.4
54c,143,73v,0.6
73v,143,54c,0.6
54c,144,98u,0.4
98u,144,54c,0.4
54c,145,99v,0.4
99v,145,54c,0.4
55d,146,74w,0.8
74w,146,55d,0.8
55d,147,100w,0.4
100w,147,55d,0.4
56e,148,101x,0.2
101x,148,56e,0.2
57f,149,102y,0.33
102y,149,57f,0.33
59h,150,103z,0.5
103z,150,59h,0.5
59h,151,139j,0.14
139j,151,59h,0.14
60i,152,75x,0.8
75x,152,60i,0.8
60i,153,104a,0.43
104a,153,60i,0.43
60i,154,114k,0.33
114k,154,60i,0.33
60i,155,140k,0.17
140k,155,60i,0.17
60i,156,141l,0.17
141l,156,60i,0.17
61j,157,105b,0.33
105b,157,61j,0.33
61j,158,142m,0.17
142m,158,61j,0.17
65n,159,108e,0.1
108e,159,65n,0.1
68q,160,79b,0.25
79b,160,68q,0.25
69r,161,85h,0.67
85h,161,69r,0.67
69r,162,131b,0.33
131b,162,69r,0.33
70s,163,89l,0.33
89l,163,70s,0.33
70s,164,122s,0.2
122s,164,70s,0.2
70s,165,133d,0.17
133d,165,70s,0.17
71t,166,92o,0.3
92o,166,71t,0.3
71t,167,110g,0.5
110g,167,71t,0.5
71t,168,134e,0.17
134e,168,71t,0.17
72u,169,97t,0.67
97t,169,72u,0.67
73v,170,99v,0.67
99v,170,73v,0.67
74w,171,100w,0.5
100w,171,74w,0.5
75x,172,104a,0.5
104a,172,75x,0.5
75x,173,114k,0.4
114k,173,75x,0.4
75x,174,140k,0.2
140k,174,75x,0.2
75x,175,141l,0.2
141l,175,75x,0.2
76y,176,127x,0.14
127x,176,76y,0.14
76y,177,146q,0.25
146q,177,76y,0.25
78a,178,128y,0.67
128y,178,78a,0.67
79b,179,118o,0.75
118o,179,79b,0.75
79b,180,119p,0.5
119p,180,79b,0.5
81d,181,109f,0.62
109f,181,81d,0.62
81d,182,120q,0.38
120q,182,81d,0.38
81d,183,129z,0.25
129z,183,81d,0.25
83f,184,130a,0.75
130a,184,83f,0.75
84g,185,121r,0.83
121r,185,84g,0.83
84g,186,161f,0.14
161f,186,84g,0.14
85h,187,131b,0.67
131b,187,85h,0.67
88k,188,132c,0.67
132c,188,88k,0.67
89l,189,122s,0.6
122s,189,89l,0.6
89l,190,133d,0.8
133d,190,89l,0.8
90m,191,123t,0.8
123t,191,90m,0.8
92o,192,110g,0.5
110g,192,92o,0.5
92o,193,124u,0.38
124u,193,92o,0.38
92o,194,134e,0.25
134e,194,92o,0.25
92o,195,162g,0.11
162g,195,92o,0.11
94q,196,111h,0.62
111h,196,94q,0.62
94q,197,112i,0.38
112i,197,94q,0.38
94q,198,125v,0.38
125v,198,94q,0.38
94q,199,135f,0.25
135f,199,94q,0.25
94q,200,136g,0.25
136g,200,94q,0.25
95r,201,113j,0.83
113j,201,95r,0.83
95r,202,126w,0.5
126w,202,95r,0.5
101x,203,137h,0.67
137h,203,101x,0.67
101x,204,152w,0.11
152w,204,101x,0.11
102y,205,138i,0.5
138i,205,102y,0.5
102y,206,147r,0.33
147r,206,102y,0.33
102y,207,153x,0.17
153x,207,102y,0.17
103z,208,139j,0.33
139j,208,103z,0.33
103z,209,148s,0.17
148s,209,103z,0.17
104a,210,114k,0.6
114k,210,104a,0.6
104a,211,140k,0.4
140k,211,104a,0.4
104a,212,141l,0.4
141l,212,104a,0.4
104a,213,155z,0.17
155z,213,104a,0.17
105b,214,142m,0.67
142m,214,105b,0.67
106c,215,115l,0.62
115l,215,106c,0.62
106c,216,143n,0.38
143n,216,106c,0.38
106c,217,144o,0.25
144o,217,106c,0.25
106c,218,156a,0.11
156a,218,106c,0.11
107d,219,145p,0.8
145p,219,107d,0.8
107d,220,157b,0.17
157b,220,107d,0.17
109f,221,129z,0.4
129z,221,109f,0.4
110g,222,134e,0.5
134e,222,110g,0.5
111h,223,112i,0.6
112i,223,111h,0.6
111h,224,135f,0.4
135f,224,111h,0.4
111h,225,136g,0.4
136g,225,111h,0.4
112i,226,136g,0.67
136g,226,112i,0.67
113j,227,126w,0.6
126w,227,113j,0.6
114k,228,141l,0.67
141l,228,114k,0.67
115l,229,144o,0.4
144o,229,115l,0.4
116m,230,127x,0.33
127x,230,116m,0.33
117n,231,127x,0.33
127x,231,117n,0.33
117n,232,146q,0.67
146q,232,117n,0.67
117n,233,159d,0.33
159d,233,117n,0.33
118o,234,119p,0.67
119p,234,118o,0.67
121r,235,161f,0.17
161f,235,121r,0.17
121r,236,163h,0.1
163h,236,121r,0.1
122s,237,133d,0.75
133d,237,122s,0.75
124u,238,162g,0.25
162g,238,124u,0.25
127x,239,146q,0.5
146q,239,127x,0.5
127x,240,159d,0.14
159d,240,127x,0.14
137h,241,152w,0.12
152w,241,137h,0.12
138i,242,147r,0.75
147r,242,138i,0.75
138i,243,153x,0.5
153x,243,138i,0.5
139j,244,148s,0.8
148s,244,139j,0.8
139j,245,149t,0.6
149t,245,139j,0.6
139j,246,154y,0.4
154y,246,139j,0.4
139j,247,165j,0.3
165j,247,139j,0.3
139j,248,172q,0.2
172q,248,139j,0.2
139j,249,176u,0.1
176u,249,139j,0.1
140k,250,155z,0.33
155z,250,140k,0.33
143n,251,156a,0.25
156a,251,143n,0.25
145p,252,157b,0.2
157b,252,145p,0.2
146q,253,159d,0.25
159d,253,146q,0.25
147r,254,153x,0.67
153x,254,147r,0.67
148s,255,149t,0.75
149t,255,148s,0.75
148s,256,154y,0.44
154y,256,148s,0.44
148s,257,165j,0.33
165j,257,148s,0.33
148s,258,172q,0.22
172q,258,148s,0.22
148s,259,176u,0.11
176u,259,148s,0.11
149t,260,154y,0.33
154y,260,149t,0.33
149t,261,165j,0.38
165j,261,149t,0.38
149t,262,172q,0.25
172q,262,149t,0.25
149t,263,176u,0.12
176u,263,149t,0.12
150u,264,154y,0.22
154y,264,150u,0.22
150u,265,165j,0.25
165j,265,150u,0.25
150u,266,172q,0.29
172q,266,150u,0.29
150u,267,176u,0.33
176u,267,150u,0.33
150u,268,178w,0.5
178w,268,150u,0.5
150u,269,179x,0.25
179x,269,150u,0.25
151v,270,154y,0.22
154y,270,151v,0.22
151v,271,165j,0.25
165j,271,151v,0.25
151v,272,172q,0.29
172q,272,151v,0.29
151v,273,176u,0.33
176u,273,151v,0.33
151v,274,178w,0.5
178w,274,151v,0.5
151v,275,179x,0.67
179x,275,151v,0.67
152w,276,164i,0.86
164i,276,152w,0.86
152w,277,171p,0.57
171p,277,152w,0.57
152w,278,175t,0.43
175t,278,152w,0.43
154y,279,165j,0.89
165j,279,154y,0.89
154y,280,172q,0.78
172q,280,154y,0.78
154y,281,176u,0.67
176u,281,154y,0.67
154y,282,178w,0.44
178w,282,154y,0.44
154y,283,179x,0.33
179x,283,154y,0.33
158c,284,166k,0.89
166k,284,158c,0.89
158c,285,167l,0.56
167l,285,158c,0.56
158c,286,168m,0.33
168m,286,158c,0.33
158c,287,173r,0.33
173r,287,158c,0.33
160e,288,163h,0.67
163h,288,160e,0.67
160e,289,169n,0.33
169n,289,160e,0.33
160e,290,170o,0.56
170o,290,160e,0.56
160e,291,174s,0.44
174s,291,160e,0.44
160e,292,177v,0.33
177v,292,160e,0.33
163h,293,170o,0.83
170o,293,163h,0.83
163h,294,174s,0.67
174s,294,163h,0.67
163h,295,177v,0.5
177v,295,163h,0.5
164i,296,171p,0.67
171p,296,164i,0.67
164i,297,175t,0.5
175t,297,164i,0.5
165j,298,172q,0.88
172q,298,165j,0.88
165j,299,176u,0.75
176u,299,165j,0.75
165j,300,178w,0.5
178w,300,165j,0.5
165j,301,179x,0.38
179x,301,165j,0.38
166k,302,167l,0.62
167l,302,166k,0.62
166k,303,168m,0.38
168m,303,166k,0.38
166k,304,173r,0.38
173r,304,166k,0.38
167l,305,168m,0.6
168m,305,167l,0.6
170o,306,174s,0.8
174s,306,170o,0.8
170o,307,177v,0.6
177v,307,170o,0.6
171p,308,175t,0.75
175t,308,171p,0.75
172q,309,176u,0.86
176u,309,172q,0.86
172q,310,178w,0.57
178w,310,172q,0.57
172q,311,179x,0.43
179x,311,172q,0.43
174s,312,177v,0.75
177v,312,174s,0.75
176u,313,178w,0.67
178w,313,176u,0.67
176u,314,179x,0.5
179x,314,176u,0.5
178w,315,179x,0.75
179x,315,178w,0.75
180y,316,213f,0.42
213f,316,180y,0.42
180y,317,230w,0.39
230w,317,180y,0.39
181z,318,214g,0.67
214g,318,181z,0.67
181z,319,257x,0.17
257x,319,181z,0.17
182a,320,200s,0.83
200s,320,182a,0.83
182a,321,215h,0.25
215h,321,182a,0.25
182a,322,216i,0.14
216i,322,182a,0.14
182a,323,231x,0.12
231x,323,182a,0.12
182a,324,232y,0.11
232y,324,182a,0.11
182a,325,258y,0.12
258y,325,182a,0.12
183b,326,201t,0.12
201t,326,183b,0.12
183b,327,217j,0.11
217j,327,183b,0.11
183b,328,218k,0.14
218k,328,183b,0.14
183b,329,219l,0.14
219l,329,183b,0.14
183b,330,220m,0.14
220m,330,183b,0.14
183b,331,234a,0.12
234a,331,183b,0.12
183b,332,259z,0.12
259z,332,183b,0.12
184c,333,202u,0.73
202u,333,184c,0.73
184c,334,221n,0.64
221n,334,184c,0.64
184c,335,222o,0.62
222o,335,184c,0.62
184c,336,223p,0.17
223p,336,184c,0.17
185d,337,203v,0.75
203v,337,185d,0.75
185d,338,241h,0.2
241h,338,185d,0.2
186e,339,204w,0.8
204w,339,186e,0.8
186e,340,242i,0.12
242i,340,186e,0.12
187f,341,205x,0.36
205x,341,187f,0.36
187f,342,260a,0.12
260a,342,187f,0.12
188g,343,206y,0.5
206y,343,188g,0.5
188g,344,244k,0.17
244k,344,188g,0.17
189h,345,207z,0.8
207z,345,189h,0.8
189h,346,224q,0.4
224q,346,189h,0.4
189h,347,245l,0.17
245l,347,189h,0.17
192k,348,208a,0.75
208a,348,192k,0.75
192k,349,246m,0.2
246m,349,192k,0.2
194m,350,209b,0.4
209b,350,194m,0.4
194m,351,247n,0.2
247n,351,194m,0.2
195n,352,210c,0.62
210c,352,195n,0.62
195n,353,225r,0.5
225r,353,195n,0.5
195n,354,226s,0.5
226s,354,195n,0.5
195n,355,248o,0.14
248o,355,195n,0.14
195n,356,249p,0.17
249p,356,195n,0.17
198q,357,211d,0.46
211d,357,198q,0.46
198q,358,227t,0.42
227t,358,198q,0.42
198q,359,228u,0.36
228u,359,198q,0.36
198q,360,229v,0.2
229v,360,198q,0.2
198q,361,250q,0.14
250q,361,198q,0.14
198q,362,251r,0.11
251r,362,198q,0.11
198q,363,252s,0.14
252s,363,198q,0.14
198q,364,261b,0.1
261b,364,198q,0.1
199r,365,212e,0.67
212e,365,199r,0.67
199r,366,254u,0.33
254u,366,199r,0.33
200s,367,215h,0.29
215h,367,200s,0.29
200s,368,216i,0.17
216i,368,200s,0.17
200s,369,231x,0.14
231x,369,200s,0.14
200s,370,232y,0.12
232y,370,200s,0.12
200s,371,258y,0.14
258y,371,200s,0.14
201t,372,236c,0.67
236c,372,201t,0.67
202u,373,221n,0.8
221n,373,202u,0.8
202u,374,222o,0.67
222o,374,202u,0.67
202u,375,223p,0.2
223p,375,202u,0.2
202u,376,237d,0.13
237d,376,202u,0.13
202u,377,238e,0.11
238e,377,202u,0.11
202u,378,239f,0.11
239f,378,202u,0.11
202u,379,240g,0.13
240g,379,202u,0.13
203v,380,241h,0.4
241h,380,203v,0.4
