:START_ID,id,:END_ID,:TYPE
319h,580,298m,0.67
299n,581,320i,0.67
320i,581,299n,0.67
300o,582,321j,0.67
321j,582,300o,0.67
301p,583,322k,0.67
322k,583,301p,0.67
302q,584,324m,0.67
324m,584,302q,0.67
303r,585,305t,0.8
305t,585,303r,0.8
303r,586,307v,0.6
307v,586,303r,0.6
304s,587,306u,0.75
306u,587,304s,0.75
304s,588,343f,0.5
343f,588,304s,0.5
305t,589,307v,0.75
307v,589,305t,0.75
306u,590,343f,0.25
343f,590,306u,0.25
308w,591,328q,0.1
328q,591,308w,0.1
308w,592,329r,0.14
329r,592,308w,0.14
308w,593,333v,0.22
333v,593,308w,0.22
308w,594,335x,0.33
335x,594,308w,0.33
308w,595,337z,0.17
337z,595,308w,0.17
309x,596,328q,0.1
328q,596,309x,0.1
309x,597,329r,0.14
329r,597,309x,0.14
309x,598,333v,0.22
333v,598,309x,0.22
309x,599,334w,0.67
334w,599,309x,0.67
312a,600,325n,0.83
325n,600,312a,0.83
312a,601,326o,0.67
326o,601,312a,0.67
312a,602,327p,0.25
327p,602,312a,0.25
312a,603,332u,0.42
332u,603,312a,0.42
313b,604,328q,0.91
328q,604,313b,0.91
313b,605,329r,0.64
329r,605,313b,0.64
313b,606,330s,0.23
330s,606,313b,0.23
313b,607,331t,0.14
331t,607,313b,0.14
313b,608,333v,0.41
333v,608,313b,0.41
313b,609,334w,0.14
334w,609,313b,0.14
313b,610,335x,0.27
335x,610,313b,0.27
313b,611,337z,0.23
337z,611,313b,0.23
313b,612,338a,0.18
338a,612,313b,0.18
313b,613,339b,0.14
339b,613,313b,0.14
325n,614,326o,0.8
326o,614,325n,0.8
325n,615,327p,0.3
327p,615,325n,0.3
325n,616,332u,0.5
332u,616,325n,0.5
326o,617,327p,0.38
327p,617,326o,0.38
326o,618,332u,0.62
332u,618,326o,0.62
326o,619,341d,0.11
341d,619,326o,0.11
326o,620,342e,0.1
342e,620,326o,0.1
328q,621,329r,0.7
329r,621,328q,0.7
328q,622,330s,0.25
330s,622,328q,0.25
328q,623,331t,0.15
331t,623,328q,0.15
328q,624,333v,0.45
333v,624,328q,0.45
328q,625,334w,0.15
334w,625,328q,0.15
328q,626,335x,0.3
335x,626,328q,0.3
328q,627,337z,0.25
337z,627,328q,0.25
328q,628,338a,0.2
338a,628,328q,0.2
328q,629,339b,0.15
339b,629,328q,0.15
329r,630,330s,0.36
330s,630,329r,0.36
329r,631,331t,0.21
331t,631,329r,0.21
329r,632,333v,0.64
333v,632,329r,0.64
329r,633,334w,0.21
334w,633,329r,0.21
329r,634,335x,0.43
335x,634,329r,0.43
329r,635,337z,0.36
337z,635,329r,0.36
329r,636,338a,0.29
338a,636,329r,0.29
329r,637,339b,0.21
339b,637,329r,0.21
330s,638,331t,0.6
331t,638,330s,0.6
330s,639,340c,0.17
340c,639,330s,0.17
331t,640,340c,0.25
340c,640,331t,0.25
332u,641,341d,0.17
341d,641,332u,0.17
332u,642,342e,0.14
342e,642,332u,0.14
333v,643,334w,0.33
334w,643,333v,0.33
333v,644,335x,0.67
335x,644,333v,0.67
333v,645,337z,0.56
337z,645,333v,0.56
333v,646,338a,0.44
338a,646,333v,0.44
333v,647,339b,0.33
339b,647,333v,0.33
335x,648,337z,0.83
337z,648,335x,0.83
335x,649,338a,0.67
338a,649,335x,0.67
335x,650,339b,0.5
339b,650,335x,0.5
336y,651,342e,0.67
342e,651,336y,0.67
337z,652,338a,0.8
338a,652,337z,0.8
337z,653,339b,0.6
339b,653,337z,0.6
338a,654,339b,0.75
339b,654,338a,0.75
